time,distance,uavangle,height
1461464164.477613,315,0,56
1461464164.5375502,0,0,56
1461464164.597535,0,1,56
1461464164.6575234,0,0,57
1461464164.7175152,0,0,56
1461464164.777542,0,0,56
1461464164.8375297,0,0,56
1461464164.8975852,0,1,56
1461464164.9575396,0,0,56
1461464165.017511,0,0,56
1461464165.07753,0,0,56
1461464165.1375377,0,0,56
1461464165.1975403,0,0,56
1461464165.2575514,0,0,56
1461464165.3175664,0,0,56
1461464165.3776333,0,0,56
1461464165.4375217,0,0,56
1461464165.4975812,0,0,56
1461464165.5575433,0,0,56
1461464165.6175854,0,1,56
1461464165.6775339,0,0,56
1461464165.7375185,0,0,56
1461464165.7977076,0,1,56
1461464165.8574433,0,0,56
1461464165.9174283,0,0,56
1461464165.9774346,0,0,56
1461464166.037432,0,0,56
1461464166.0974417,0,0,56
1461464166.157427,0,0,56
1461464166.2174213,0,0,56
1461464166.2774615,0,0,56
